CAMPUS_ID|NEIGHBORHOOD|RESIDENCE_HALL
0578451|Central Campus|1911 Erwin
0578782|Edens Quad|House 1B
0579109|Crowell Quad|House EE
0578052|East Neighborhood 1|Alspaugh
0580586|Kilgo Quad|House J
0589460|East Neighborhood 1|Bassett
0593193|Crowell Quad|House G
0579106|East Neighborhood 1|Bassett
0580955|Wannamaker Quad|Wannamaker
0586766|East Neighborhood 2|Giles
0444024|Keohane Quad|House 4E
0588490|East Neighborhood 1|Pegram
0579213|East Neighborhood 1|Bassett
0590083|Edens Quad|House 1C
0585940|East Neighborhood 4|Blackwell
0578966|East Neighborhood 1|Bassett
0619148|East Neighborhood 2|Wilson House
0621765|East Neighborhood 1|Bassett
0614751|East Neighborhood 4|Randolph
0614775|East Neighborhood 1|Pegram
0617067|East Neighborhood 2|Giles
0618629|East Neighborhood 1|Bassett
0619448|East Neighborhood 2|Giles
0621678|East Neighborhood 3|Gilbert-Addoms
0596877|East Neighborhood 1|Pegram
0606996|East Neighborhood 4|Randolph
0609402|East Neighborhood 3|Southgate
0609886|East Neighborhood 4|Blackwell
0611540|East Neighborhood 1|Pegram
0615352|East Neighborhood 3|Southgate
0617164|East Neighborhood 2|Aycock
0606527|East Neighborhood 1|Brown
0606534|East Neighborhood 4|Blackwell
0606542|East Neighborhood 1|Bassett
0606549|East Neighborhood 4|Randolph
0606553|East Neighborhood 4|Randolph
0606569|East Neighborhood 3|Southgate
0606572|East Neighborhood 3|Gilbert-Addoms
0606574|East Neighborhood 3|Southgate
0606577|East Neighborhood 2|Jarvis
0606584|East Neighborhood 4|Randolph
0606585|East Neighborhood 2|Jarvis
0606597|East Neighborhood 2|Wilson House
0606601|East Neighborhood 1|Bassett
0606615|East Neighborhood 4|Bell Tower
0606617|East Neighborhood 3|Gilbert-Addoms
0606620|East Neighborhood 3|Gilbert-Addoms
0606635|East Neighborhood 2|Jarvis
0606929|East Neighborhood 4|Bell Tower
0607205|East Neighborhood 3|Southgate
0607328|East Neighborhood 4|Randolph
0606368|East Neighborhood 3|Southgate
0606441|East Neighborhood 3|Southgate
0606458|East Neighborhood 3|Gilbert-Addoms
0606593|East Neighborhood 3|Southgate
0606758|East Neighborhood 1|Brown
0606775|East Neighborhood 2|Aycock
0606941|East Neighborhood 4|Blackwell
0606966|East Neighborhood 4|Bell Tower
0607116|East Neighborhood 2|Epworth
0607179|East Neighborhood 3|Gilbert-Addoms
0605317|East Neighborhood 2|Epworth
0605691|East Neighborhood 4|Blackwell
0606256|East Neighborhood 3|Gilbert-Addoms
0606329|East Neighborhood 3|Gilbert-Addoms
0606342|East Neighborhood 4|Blackwell
0618463|East Neighborhood 3|Southgate
0620938|East Neighborhood 1|Bassett
0621571|East Neighborhood 1|Pegram
0609089|East Neighborhood 2|Wilson House
0609109|East Neighborhood 1|Alspaugh
0610085|East Neighborhood 2|Jarvis
0613714|East Neighborhood 1|Pegram
0615315|East Neighborhood 2|Jarvis
0616188|East Neighborhood 3|Gilbert-Addoms
0618892|East Neighborhood 1|Brown
0619264|East Neighborhood 2|Jarvis
0612107|East Neighborhood 1|Alspaugh
0612125|East Neighborhood 1|Alspaugh
0615023|East Neighborhood 2|Wilson House
0615489|East Neighborhood 1|Brown
0616026|East Neighborhood 1|Pegram
0616050|East Neighborhood 1|Pegram
0606693|East Neighborhood 2|Aycock
0606698|East Neighborhood 1|Pegram
0606701|East Neighborhood 2|Giles
0606702|East Neighborhood 1|Bassett
0606727|East Neighborhood 3|Gilbert-Addoms
0606729|East Neighborhood 4|Blackwell
0606747|East Neighborhood 4|Bell Tower
0606752|East Neighborhood 1|Brown
0606809|East Neighborhood 3|Southgate
0606850|East Neighborhood 4|Randolph
0606864|East Neighborhood 3|Southgate
0606865|East Neighborhood 4|Randolph
0606869|East Neighborhood 4|Randolph
0606917|East Neighborhood 1|Alspaugh
0606918|East Neighborhood 1|Brown
0606369|East Neighborhood 3|Southgate
0606461|East Neighborhood 2|Aycock
0606570|East Neighborhood 2|Wilson House
0606772|East Neighborhood 2|Aycock
0606945|East Neighborhood 3|Southgate
0606979|East Neighborhood 3|Southgate
0606988|East Neighborhood 1|Brown
0607127|East Neighborhood 4|Randolph
0607324|East Neighborhood 3|Gilbert-Addoms
0448492|East Neighborhood 3|Southgate
0598460|East Neighborhood 4|Bell Tower
0605805|East Neighborhood 4|Randolph
0605990|East Neighborhood 1|Bassett
0606170|East Neighborhood 1|Alspaugh
0606266|East Neighborhood 1|Brown
0606312|East Neighborhood 4|Bell Tower
0616336|East Neighborhood 2|Jarvis
0617216|East Neighborhood 1|Pegram
0617947|East Neighborhood 3|Southgate
0617990|East Neighborhood 3|Southgate
0618350|East Neighborhood 2|Aycock
0618873|East Neighborhood 2|Jarvis
0609105|East Neighborhood 3|Gilbert-Addoms
0614331|East Neighborhood 3|Southgate
0614334|East Neighborhood 4|Blackwell
0614786|East Neighborhood 2|Wilson House
0616037|East Neighborhood 4|Randolph
0616094|East Neighborhood 2|Aycock
0616179|East Neighborhood 1|Brown
0616415|East Neighborhood 4|Randolph
0616441|East Neighborhood 1|Brown
0616608|East Neighborhood 2|Wilson House
0617006|East Neighborhood 4|Bell Tower
0619137|East Neighborhood 1|Brown
0619139|East Neighborhood 2|Jarvis
0620645|East Neighborhood 3|Gilbert-Addoms
0606924|East Neighborhood 4|Bell Tower
0606925|East Neighborhood 2|Giles
0606935|East Neighborhood 3|Gilbert-Addoms
0606952|East Neighborhood 4|Blackwell
0606977|East Neighborhood 4|Bell Tower
0606989|East Neighborhood 1|Bassett
0606991|East Neighborhood 3|Southgate
0607123|East Neighborhood 4|Randolph
0607124|East Neighborhood 4|Randolph
0607299|East Neighborhood 4|Blackwell
0607304|East Neighborhood 3|Southgate
0607326|East Neighborhood 4|Randolph
0444052|East Neighborhood 4|Blackwell
0604362|East Neighborhood 4|Randolph
0604534|East Neighborhood 2|Giles
0606332|East Neighborhood 1|Alspaugh
0606365|East Neighborhood 4|Randolph
0606377|East Neighborhood 2|Jarvis
0606492|East Neighborhood 3|Gilbert-Addoms
0606586|East Neighborhood 1|Bassett
0606591|East Neighborhood 4|Blackwell
0606598|East Neighborhood 2|Aycock
0606625|East Neighborhood 1|Pegram
0606637|East Neighborhood 1|Brown
0606707|East Neighborhood 4|Blackwell
0606722|East Neighborhood 4|Randolph
0606845|East Neighborhood 3|Gilbert-Addoms
0606857|East Neighborhood 4|Bell Tower
0606915|East Neighborhood 3|Southgate
0606928|East Neighborhood 2|Giles
0606947|East Neighborhood 1|Pegram
0607129|East Neighborhood 2|Giles
0614745|East Neighborhood 2|Jarvis
0614801|East Neighborhood 3|Gilbert-Addoms
0614857|East Neighborhood 2|Wilson House
0614890|East Neighborhood 4|Bell Tower
0615222|East Neighborhood 4|Randolph
0616111|East Neighborhood 2|Jarvis
0617057|East Neighborhood 2|Giles
0617227|East Neighborhood 2|Wilson House
0619110|East Neighborhood 1|Brown
0619589|East Neighborhood 2|Wilson House
0607340|East Neighborhood 2|Jarvis
0607828|East Neighborhood 4|Randolph
0610761|East Neighborhood 2|Wilson House
0604852|East Neighborhood 2|Giles
0605622|East Neighborhood 2|Giles
0605689|East Neighborhood 2|Aycock
0605967|East Neighborhood 4|Randolph
0605996|East Neighborhood 4|Blackwell
0606104|East Neighborhood 3|Gilbert-Addoms
0606106|East Neighborhood 2|Wilson House
0606107|East Neighborhood 1|Bassett
0606171|East Neighborhood 2|Aycock
0606174|East Neighborhood 4|Randolph
0606176|East Neighborhood 1|Bassett
0606183|East Neighborhood 3|Southgate
0606232|East Neighborhood 1|Alspaugh
0606243|East Neighborhood 4|Randolph
0606245|East Neighborhood 1|Bassett
0606246|East Neighborhood 4|Randolph
0607182|East Neighborhood 2|Jarvis
0607662|East Neighborhood 1|Alspaugh
0607842|East Neighborhood 2|Aycock
0607845|East Neighborhood 3|Gilbert-Addoms
0607846|East Neighborhood 4|Randolph
0607886|East Neighborhood 2|Wilson House
0607889|East Neighborhood 1|Bassett
0607890|East Neighborhood 4|Randolph
0607895|East Neighborhood 1|Alspaugh
0607896|East Neighborhood 1|Brown
0607899|East Neighborhood 3|Gilbert-Addoms
0607900|East Neighborhood 4|Randolph
0607902|East Neighborhood 1|Bassett
0605624|East Neighborhood 3|Southgate
0606254|East Neighborhood 2|Giles
0606299|East Neighborhood 2|Giles
0606619|East Neighborhood 2|Aycock
0606645|East Neighborhood 3|Gilbert-Addoms
0606732|East Neighborhood 2|Wilson House
0619718|East Neighborhood 1|Bassett
0609118|East Neighborhood 4|Bell Tower
0610649|East Neighborhood 4|Blackwell
0610888|East Neighborhood 3|Gilbert-Addoms
0611648|East Neighborhood 1|Alspaugh
0614982|East Neighborhood 1|Brown
0615174|East Neighborhood 1|Brown
0615181|East Neighborhood 1|Bassett
0615264|East Neighborhood 1|Bassett
0615278|East Neighborhood 4|Bell Tower
0615794|East Neighborhood 4|Blackwell
0618303|East Neighborhood 1|Brown
0619283|East Neighborhood 2|Giles
0619863|East Neighborhood 1|Brown
0607058|East Neighborhood 4|Blackwell
0609674|East Neighborhood 1|Brown
0609878|East Neighborhood 3|Gilbert-Addoms
0606247|East Neighborhood 1|Pegram
0606255|East Neighborhood 2|Giles
0606257|East Neighborhood 2|Aycock
0606260|East Neighborhood 2|Aycock
0606261|East Neighborhood 4|Randolph
0606262|East Neighborhood 2|Giles
0606263|East Neighborhood 4|Bell Tower
0606271|East Neighborhood 2|Jarvis
0606275|East Neighborhood 4|Bell Tower
0606278|East Neighborhood 1|Bassett
0606288|East Neighborhood 1|Bassett
0606289|East Neighborhood 2|Giles
0606291|East Neighborhood 2|Epworth
0606293|East Neighborhood 4|Randolph
0606302|East Neighborhood 4|Blackwell
0606304|East Neighborhood 1|Bassett
0606310|East Neighborhood 3|Gilbert-Addoms
0606321|East Neighborhood 1|Brown
0606330|East Neighborhood 3|Gilbert-Addoms
0606851|East Neighborhood 4|Randolph
0606157|East Neighborhood 3|Gilbert-Addoms
0606242|East Neighborhood 1|Alspaugh
0606292|East Neighborhood 3|Southgate
0606298|East Neighborhood 1|Brown
0606051|East Neighborhood 1|Alspaugh
0606301|East Neighborhood 4|Randolph
0606440|East Neighborhood 4|Bell Tower
0606491|East Neighborhood 4|Randolph
0606970|East Neighborhood 1|Alspaugh
0607180|East Neighborhood 3|Gilbert-Addoms
0606644|East Neighborhood 3|Gilbert-Addoms
0605930|East Neighborhood 4|Blackwell
0606002|East Neighborhood 4|Blackwell
0606276|East Neighborhood 1|Alspaugh
0606376|East Neighborhood 1|Pegram
0606581|East Neighborhood 3|Gilbert-Addoms
0606750|East Neighborhood 2|Aycock
0620556|East Neighborhood 2|Epworth
0620995|East Neighborhood 4|Randolph
0599311|East Neighborhood 2|Jarvis
0606179|East Neighborhood 4|Blackwell
0609678|East Neighborhood 4|Randolph
0610346|East Neighborhood 4|Blackwell
0610353|East Neighborhood 2|Giles
0611548|East Neighborhood 2|Jarvis
0613108|East Neighborhood 2|Epworth
0614438|East Neighborhood 1|Brown
0615031|East Neighborhood 2|Epworth
0615067|East Neighborhood 2|Epworth
0615585|East Neighborhood 3|Gilbert-Addoms
0616043|East Neighborhood 4|Randolph
0589847|East Neighborhood 4|Randolph
0606340|East Neighborhood 4|Randolph
0606346|East Neighborhood 1|Alspaugh
0606359|East Neighborhood 1|Bassett
0606362|East Neighborhood 2|Jarvis
0606367|East Neighborhood 2|Giles
0606373|East Neighborhood 2|Wilson House
0606433|East Neighborhood 3|Southgate
0606434|East Neighborhood 4|Bell Tower
0606436|East Neighborhood 4|Randolph
0606443|East Neighborhood 3|Southgate
0606445|East Neighborhood 1|Bassett
0606446|East Neighborhood 1|Bassett
0606447|East Neighborhood 4|Blackwell
0606449|East Neighborhood 2|Aycock
0606455|East Neighborhood 4|Blackwell
0606457|East Neighborhood 4|Bell Tower
0606777|East Neighborhood 2|Aycock
0567718|East Neighborhood 4|Randolph
0606268|East Neighborhood 3|Southgate
0606603|East Neighborhood 1|Bassett
0607210|East Neighborhood 1|Brown
0608017|East Neighborhood 2|Giles
0608018|East Neighborhood 1|Pegram
0608020|East Neighborhood 4|Bell Tower
0608021|East Neighborhood 1|Alspaugh
0407091|East Neighborhood 1|Alspaugh
0606576|East Neighborhood 1|Bassett
0606583|East Neighborhood 3|Gilbert-Addoms
0606718|East Neighborhood 1|Pegram
0607175|East Neighborhood 4|Randolph
0611543|East Neighborhood 4|Blackwell
0614914|East Neighborhood 1|Brown
0615040|East Neighborhood 2|Aycock
0618525|East Neighborhood 1|Pegram
0619799|East Neighborhood 1|Bassett
0621038|East Neighborhood 4|Randolph
0611377|East Neighborhood 1|Bassett
0611547|East Neighborhood 1|Alspaugh
0613674|East Neighborhood 4|Blackwell
0614784|East Neighborhood 4|Randolph
0616669|East Neighborhood 4|Bell Tower
0618091|East Neighborhood 1|Bassett
0618477|East Neighborhood 1|Bassett
0619278|East Neighborhood 1|Pegram
0619682|East Neighborhood 4|Blackwell
0620048|East Neighborhood 4|Blackwell
0590627|East Neighborhood 1|Bassett
0606465|East Neighborhood 3|Southgate
0606467|East Neighborhood 4|Bell Tower
0606469|East Neighborhood 3|Southgate
0606471|East Neighborhood 4|Randolph
0606475|East Neighborhood 3|Southgate
0606480|East Neighborhood 3|Gilbert-Addoms
0606488|East Neighborhood 4|Bell Tower
0606494|East Neighborhood 1|Alspaugh
0606497|East Neighborhood 2|Giles
0606528|East Neighborhood 4|Bell Tower
0606529|East Neighborhood 4|Bell Tower
0606547|East Neighborhood 4|Blackwell
0606551|East Neighborhood 1|Pegram
0606552|East Neighborhood 3|Southgate
0606554|East Neighborhood 4|Randolph
0606560|East Neighborhood 3|Gilbert-Addoms
0606561|East Neighborhood 4|Blackwell
0608028|East Neighborhood 3|Gilbert-Addoms
0608029|East Neighborhood 1|Pegram
0608036|East Neighborhood 4|Blackwell
0606000|East Neighborhood 4|Blackwell
0606158|East Neighborhood 3|Gilbert-Addoms
0606562|East Neighborhood 1|Brown
